Comunidad autónoma de residencia;Tipo de destino;Concepto turístico;Tipo de dato;Periodo;Total
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2021;130,43
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2020;133,33
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2019;116,26
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2018;109,60
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2017;104,52
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2016;107,55
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2015;96,48
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2021;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2020;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2019;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2018;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2017;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2016;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2015;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2021;-2,17
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2020;14,68
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2019;6,08
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2018;4,85
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2017;-2,82
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2016;11,48
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2015;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2021;41,75
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2020;37,30
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2019;43,48
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2018;38,88
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2017;38,11
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2016;37,18
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2015;33,59
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2021;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2020;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2019;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2018;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2017;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2016;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2015;""
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2021;11,93
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2020;-14,21
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2019;11,81
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2018;2,04
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2017;2,49
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2016;10,70
09 Cataluña;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2015;""
09 Cataluña;A otra Comunidad Autónoma;Viajes;Valor absoluto;2021;6.384.249
09 Cataluña;A otra Comunidad Autónoma;Viajes;Valor absoluto;2020;3.445.037
09 Cataluña;A otra Comunidad Autónoma;Viajes;Valor absoluto;2019;7.591.304
09 Cataluña;A otra Comunidad Autónoma;Viajes;Valor absoluto;2018;7.854.043
09 Cataluña;A otra Comunidad Autónoma;Viajes;Valor absoluto;2017;7.312.373
09 Cataluña;A otra Comunidad Autónoma;Viajes;Valor absoluto;2016;7.632.386
09 Cataluña;A otra Comunidad Autónoma;Viajes;Valor absoluto;2015;6.526.394
09 Cataluña;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2021;27,6
09 Cataluña;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2020;23,2
09 Cataluña;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2019;27,2
09 Cataluña;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2018;27,9
09 Cataluña;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2017;26,7
09 Cataluña;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2016;30,7
09 Cataluña;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2015;28,4
09 Cataluña;A otra Comunidad Autónoma;Viajes;Variación anual;2021;85,32
09 Cataluña;A otra Comunidad Autónoma;Viajes;Variación anual;2020;-54,62
09 Cataluña;A otra Comunidad Autónoma;Viajes;Variación anual;2019;-3,35
09 Cataluña;A otra Comunidad Autónoma;Viajes;Variación anual;2018;7,41
09 Cataluña;A otra Comunidad Autónoma;Viajes;Variación anual;2017;-4,19
09 Cataluña;A otra Comunidad Autónoma;Viajes;Variación anual;2016;16,95
09 Cataluña;A otra Comunidad Autónoma;Viajes;Variación anual;2015;""
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2021;6,06
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2020;7,73
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2019;5,87
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2018;5,51
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2017;5,90
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2016;5,92
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2015;6,32
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2021;""
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2020;""
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2019;""
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2018;""
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2017;""
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2016;""
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2015;""
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2021;-21,67
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2020;31,70
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2019;6,67
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2018;-6,73
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2017;-0,37
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2016;-6,31
09 Cataluña;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2015;""
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2021;38.676.118
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2020;26.645.075
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2019;44.580.041
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2018;43.238.616
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2017;43.162.411
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2016;45.220.246
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2015;41.272.095
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2021;42,5
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2020;39,5
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2019;45,0
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2018;43,0
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2017;43,9
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2016;47,6
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2015;46,6
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2021;45,15
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2020;-40,23
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2019;3,10
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2018;0,18
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2017;-4,55
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2016;9,57
09 Cataluña;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2015;""
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2021;2.494.263,84
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2020;1.282.050,64
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2019;2.815.636,64
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2018;2.705.308,14
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2017;2.454.260,65
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2016;2.534.532,69
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2015;2.058.883,33
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2021;53,40
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2020;45,70
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2019;54,30
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2018;54,80
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2017;53,90
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2016;57,80
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2015;56,40
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Variación anual;2021;94,55
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Variación anual;2020;-54,47
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Variación anual;2019;4,08
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Variación anual;2018;10,23
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Variación anual;2017;-3,17
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Variación anual;2016;23,10
09 Cataluña;A otra Comunidad Autónoma;Gasto total;Variación anual;2015;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2021;390,69
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2020;372,14
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2019;370,90
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2018;344,45
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2017;335,63
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2016;332,08
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2015;315,47
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2021;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2020;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2019;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2018;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2017;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2016;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2015;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2021;4,98
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2020;0,33
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2019;7,68
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2018;2,63
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2017;1,07
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2016;5,26
09 Cataluña;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2015;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2021;64,49
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2020;48,12
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2019;63,16
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2018;62,57
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2017;56,86
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2016;56,05
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2015;49,89
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2021;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2020;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2019;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2018;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2017;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2016;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2015;""
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2021;34,03
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2020;-23,82
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2019;0,95
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2018;10,03
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2017;1,45
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2016;12,35
09 Cataluña;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2015;""
10 Comunitat Valenciana;España;Viajes;Valor absoluto;2021;13.827.387
10 Comunitat Valenciana;España;Viajes;Valor absoluto;2020;9.934.594
10 Comunitat Valenciana;España;Viajes;Valor absoluto;2019;16.077.896
10 Comunitat Valenciana;España;Viajes;Valor absoluto;2018;16.122.565
10 Comunitat Valenciana;España;Viajes;Valor absoluto;2017;15.558.783
10 Comunitat Valenciana;España;Viajes;Valor absoluto;2016;14.239.948
10 Comunitat Valenciana;España;Viajes;Valor absoluto;2015;13.691.899
10 Comunitat Valenciana;España;Viajes;Distribución porcentual;2021;100,0
10 Comunitat Valenciana;España;Viajes;Distribución porcentual;2020;100,0
10 Comunitat Valenciana;España;Viajes;Distribución porcentual;2019;100,0
10 Comunitat Valenciana;España;Viajes;Distribución porcentual;2018;100,0
10 Comunitat Valenciana;España;Viajes;Distribución porcentual;2017;100,0
10 Comunitat Valenciana;España;Viajes;Distribución porcentual;2016;100,0
10 Comunitat Valenciana;España;Viajes;Distribución porcentual;2015;100,0
10 Comunitat Valenciana;España;Viajes;Variación anual;2021;39,18
10 Comunitat Valenciana;España;Viajes;Variación anual;2020;-38,21
10 Comunitat Valenciana;España;Viajes;Variación anual;2019;-0,28
10 Comunitat Valenciana;España;Viajes;Variación anual;2018;3,62
10 Comunitat Valenciana;España;Viajes;Variación anual;2017;9,26
10 Comunitat Valenciana;España;Viajes;Variación anual;2016;4,00
10 Comunitat Valenciana;España;Viajes;Variación anual;2015;""
10 Comunitat Valenciana;España;Duración media de los viajes;Valor absoluto;2021;3,68
10 Comunitat Valenciana;España;Duración media de los viajes;Valor absoluto;2020;4,27
10 Comunitat Valenciana;España;Duración media de los viajes;Valor absoluto;2019;3,43
10 Comunitat Valenciana;España;Duración media de los viajes;Valor absoluto;2018;3,40
10 Comunitat Valenciana;España;Duración media de los viajes;Valor absoluto;2017;3,50
10 Comunitat Valenciana;España;Duración media de los viajes;Valor absoluto;2016;3,63
10 Comunitat Valenciana;España;Duración media de los viajes;Valor absoluto;2015;3,92
10 Comunitat Valenciana;España;Duración media de los viajes;Distribución porcentual;2021;""
10 Comunitat Valenciana;España;Duración media de los viajes;Distribución porcentual;2020;""
10 Comunitat Valenciana;España;Duración media de los viajes;Distribución porcentual;2019;""
10 Comunitat Valenciana;España;Duración media de los viajes;Distribución porcentual;2018;""
10 Comunitat Valenciana;España;Duración media de los viajes;Distribución porcentual;2017;""
10 Comunitat Valenciana;España;Duración media de los viajes;Distribución porcentual;2016;""
10 Comunitat Valenciana;España;Duración media de los viajes;Distribución porcentual;2015;""
10 Comunitat Valenciana;España;Duración media de los viajes;Variación anual;2021;-13,96
10 Comunitat Valenciana;España;Duración media de los viajes;Variación anual;2020;24,73
10 Comunitat Valenciana;España;Duración media de los viajes;Variación anual;2019;0,80
10 Comunitat Valenciana;España;Duración media de los viajes;Variación anual;2018;-2,86
10 Comunitat Valenciana;España;Duración media de los viajes;Variación anual;2017;-3,65
10 Comunitat Valenciana;España;Duración media de los viajes;Variación anual;2016;-7,41
10 Comunitat Valenciana;España;Duración media de los viajes;Variación anual;2015;""
10 Comunitat Valenciana;España;Pernoctaciones;Valor absoluto;2021;50.850.517
10 Comunitat Valenciana;España;Pernoctaciones;Valor absoluto;2020;42.464.491
10 Comunitat Valenciana;España;Pernoctaciones;Valor absoluto;2019;55.097.767
10 Comunitat Valenciana;España;Pernoctaciones;Valor absoluto;2018;54.813.074
10 Comunitat Valenciana;España;Pernoctaciones;Valor absoluto;2017;54.452.268
10 Comunitat Valenciana;España;Pernoctaciones;Valor absoluto;2016;51.725.429
10 Comunitat Valenciana;España;Pernoctaciones;Valor absoluto;2015;53.714.015
10 Comunitat Valenciana;España;Pernoctaciones;Distribución porcentual;2021;100,0
10 Comunitat Valenciana;España;Pernoctaciones;Distribución porcentual;2020;100,0
10 Comunitat Valenciana;España;Pernoctaciones;Distribución porcentual;2019;100,0
10 Comunitat Valenciana;España;Pernoctaciones;Distribución porcentual;2018;100,0
10 Comunitat Valenciana;España;Pernoctaciones;Distribución porcentual;2017;100,0
10 Comunitat Valenciana;España;Pernoctaciones;Distribución porcentual;2016;100,0
10 Comunitat Valenciana;España;Pernoctaciones;Distribución porcentual;2015;100,0
10 Comunitat Valenciana;España;Pernoctaciones;Variación anual;2021;19,75
10 Comunitat Valenciana;España;Pernoctaciones;Variación anual;2020;-22,93
10 Comunitat Valenciana;España;Pernoctaciones;Variación anual;2019;0,52
10 Comunitat Valenciana;España;Pernoctaciones;Variación anual;2018;0,66
10 Comunitat Valenciana;España;Pernoctaciones;Variación anual;2017;5,27
10 Comunitat Valenciana;España;Pernoctaciones;Variación anual;2016;-3,70
10 Comunitat Valenciana;España;Pernoctaciones;Variación anual;2015;""
10 Comunitat Valenciana;España;Gasto total;Valor absoluto;2021;2.200.384,87
10 Comunitat Valenciana;España;Gasto total;Valor absoluto;2020;1.417.094,74
10 Comunitat Valenciana;España;Gasto total;Valor absoluto;2019;2.403.272,51
10 Comunitat Valenciana;España;Gasto total;Valor absoluto;2018;2.318.387,16
10 Comunitat Valenciana;España;Gasto total;Valor absoluto;2017;2.266.268,27
10 Comunitat Valenciana;España;Gasto total;Valor absoluto;2016;2.181.708,41
10 Comunitat Valenciana;España;Gasto total;Valor absoluto;2015;1.993.632,78
10 Comunitat Valenciana;España;Gasto total;Distribución porcentual;2021;100,00
10 Comunitat Valenciana;España;Gasto total;Distribución porcentual;2020;100,00
10 Comunitat Valenciana;España;Gasto total;Distribución porcentual;2019;100,00
10 Comunitat Valenciana;España;Gasto total;Distribución porcentual;2018;100,00
10 Comunitat Valenciana;España;Gasto total;Distribución porcentual;2017;100,00
10 Comunitat Valenciana;España;Gasto total;Distribución porcentual;2016;100,00
10 Comunitat Valenciana;España;Gasto total;Distribución porcentual;2015;100,00
10 Comunitat Valenciana;España;Gasto total;Variación anual;2021;55,27
10 Comunitat Valenciana;España;Gasto total;Variación anual;2020;-41,03
10 Comunitat Valenciana;España;Gasto total;Variación anual;2019;3,66
10 Comunitat Valenciana;España;Gasto total;Variación anual;2018;2,30
10 Comunitat Valenciana;España;Gasto total;Variación anual;2017;3,88
10 Comunitat Valenciana;España;Gasto total;Variación anual;2016;9,43
10 Comunitat Valenciana;España;Gasto total;Variación anual;2015;""
10 Comunitat Valenciana;España;Gasto medio por persona;Valor absoluto;2021;159,13
10 Comunitat Valenciana;España;Gasto medio por persona;Valor absoluto;2020;142,64
10 Comunitat Valenciana;España;Gasto medio por persona;Valor absoluto;2019;149,48
10 Comunitat Valenciana;España;Gasto medio por persona;Valor absoluto;2018;143,80
10 Comunitat Valenciana;España;Gasto medio por persona;Valor absoluto;2017;145,66
10 Comunitat Valenciana;España;Gasto medio por persona;Valor absoluto;2016;153,21
10 Comunitat Valenciana;España;Gasto medio por persona;Valor absoluto;2015;145,61
10 Comunitat Valenciana;España;Gasto medio por persona;Distribución porcentual;2021;""
10 Comunitat Valenciana;España;Gasto medio por persona;Distribución porcentual;2020;""
10 Comunitat Valenciana;España;Gasto medio por persona;Distribución porcentual;2019;""
10 Comunitat Valenciana;España;Gasto medio por persona;Distribución porcentual;2018;""
10 Comunitat Valenciana;España;Gasto medio por persona;Distribución porcentual;2017;""
10 Comunitat Valenciana;España;Gasto medio por persona;Distribución porcentual;2016;""
10 Comunitat Valenciana;España;Gasto medio por persona;Distribución porcentual;2015;""
10 Comunitat Valenciana;España;Gasto medio por persona;Variación anual;2021;11,56
10 Comunitat Valenciana;España;Gasto medio por persona;Variación anual;2020;-4,57
10 Comunitat Valenciana;España;Gasto medio por persona;Variación anual;2019;3,95
10 Comunitat Valenciana;España;Gasto medio por persona;Variación anual;2018;-1,28
10 Comunitat Valenciana;España;Gasto medio por persona;Variación anual;2017;-4,93
10 Comunitat Valenciana;España;Gasto medio por persona;Variación anual;2016;5,22
10 Comunitat Valenciana;España;Gasto medio por persona;Variación anual;2015;""
10 Comunitat Valenciana;España;Gasto medio diario por persona;Valor absoluto;2021;43,27
10 Comunitat Valenciana;España;Gasto medio diario por persona;Valor absoluto;2020;33,37
10 Comunitat Valenciana;España;Gasto medio diario por persona;Valor absoluto;2019;43,62
10 Comunitat Valenciana;España;Gasto medio diario por persona;Valor absoluto;2018;42,30
10 Comunitat Valenciana;España;Gasto medio diario por persona;Valor absoluto;2017;41,62
10 Comunitat Valenciana;España;Gasto medio diario por persona;Valor absoluto;2016;42,18
10 Comunitat Valenciana;España;Gasto medio diario por persona;Valor absoluto;2015;37,12
10 Comunitat Valenciana;España;Gasto medio diario por persona;Distribución porcentual;2021;""
10 Comunitat Valenciana;España;Gasto medio diario por persona;Distribución porcentual;2020;""
10 Comunitat Valenciana;España;Gasto medio diario por persona;Distribución porcentual;2019;""
10 Comunitat Valenciana;España;Gasto medio diario por persona;Distribución porcentual;2018;""
10 Comunitat Valenciana;España;Gasto medio diario por persona;Distribución porcentual;2017;""
10 Comunitat Valenciana;España;Gasto medio diario por persona;Distribución porcentual;2016;""
10 Comunitat Valenciana;España;Gasto medio diario por persona;Distribución porcentual;2015;""
10 Comunitat Valenciana;España;Gasto medio diario por persona;Variación anual;2021;29,67
10 Comunitat Valenciana;España;Gasto medio diario por persona;Variación anual;2020;-23,49
10 Comunitat Valenciana;España;Gasto medio diario por persona;Variación anual;2019;3,13
10 Comunitat Valenciana;España;Gasto medio diario por persona;Variación anual;2018;1,63
10 Comunitat Valenciana;España;Gasto medio diario por persona;Variación anual;2017;-1,33
10 Comunitat Valenciana;España;Gasto medio diario por persona;Variación anual;2016;13,64
10 Comunitat Valenciana;España;Gasto medio diario por persona;Variación anual;2015;""
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2021;9.357.234
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2020;6.941.402
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2019;10.101.877
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2018;9.893.498
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2017;8.983.525
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2016;8.005.004
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2015;7.605.085
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2021;67,7
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2020;69,9
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2019;62,8
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2018;61,4
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2017;57,7
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2016;56,2
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2015;55,5
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2021;34,80
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2020;-31,29
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2019;2,11
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2018;10,13
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2017;12,22
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2016;5,26
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2015;""
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2021;3,44
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2020;3,98
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2019;3,16
10 Comunitat Valenciana;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2018;3,01
